User Name,Name Tag,Description
Baroness von Neanderthal,@Brahmslover1278,"If obesity makes Covid worse, why did the cdc lock down gyms for a year? Time to sue the 
@CDCgov
 "
James Thurber,@JamesAThurber,I'm sure there's some evil climate baddie in a lair somewhere quietly pleased about this global covid top/tail population cull.
Danielle⁷,@0706_danielle,"I have a ‘slight’ fear of needles and all these news stories of COVID with people getting injections is not helping 
It’s a little triggering to be honest - makes me so anxious sometimes

I feel so sorry for those who have a phobia of needles"
Ankur_Justice,@Ankur_Justice,"Replying to 
@AstralShines
 and 
@aliaa08"
kloppo,@333mucker333,"@GregHughes2
 No one in ICU with Covid in Letterkenny General yesterday...REPORT THAT"
chip chop,@_amsssss,minggu depan sayaa kene inj vaksin covid 
Guilhem31,@Cournut48,"Covid-19 : la République Tchèque autorise l’ivermectine, et la France ?"
Hemant Gond,@Im_hkgond,"#RT 
@TILMarketing
: Did the Indian automotive industry take a hit, post-Covid?  Catch our expert panel discussing this more on two part Episode of #ETCatalyse
Part 1 - https://youtube.com/watch?v=nN5H3c28-hs…
Part 2 - https://youtube.com/watch?v=euCkwG16m4s…

#Auto #Digital"
Marzuki (TA.PP),@Marzuki72817719,"DINILAI EFEKTIF,DANA DESA 2021 DILANJUTKAN UTK PENANGANAN COVID-19 
@halimiskandarnu
@imansyukri
 
@malik_haramain
 
@taufikmadjid71
 
@yusradaridesa
 
@kemendesapdtt
 
@AcehTpp
@HasanZulfahmi
#GusMenteri
#TaufikMadjid
#YusraDariDesa
#puspenpmd
#DanaDesa 
#tppaceh"
Vijay Patel,@vijay_patel3,Amazon's response to COVID-19 https://ift.tt/3rvBSqE
EWN Reporter,@ewnreporter,"The 4th quarter growth has been attributed to the further easing of COVID-19 lockdown restrictions. 

Eight industries recorded positive growth between the
3rd and 4th quarters of 2020. The largest positive contributors were the manufacturing, trade and
transport industries."
gimpft.ch,@gimpft,"Replying to 
@PeterAppel14"
ayup_itsnotbuggy,@ayupfearne,i go into school tmrw for a covid test and if it’s negative i have to go in full time again :(
Sari,@momurda_eternal,"So I guess I'ma get the Covid shot. 

Thoughts? "
ここ三つ,@kokomittu,"新型コロナウイルス感染症（ COVID-19 ）流行下における同人誌即売会の開催ガイドライン | DOUJIN JAPAN 2020 https://doujin2020.jp/wp/page-538/ 
滅茶苦茶良いこと書いてある。
最小限度だけど、感染対策はこれを遵守すると十分なくらいに"
Lucie,@Lucie14553065,"Replying to 
@M_Scotta_B
 @Vymazanej
 and 2 others"
Sarah McGuinness,@SarahMcG92,"Excited to start my BNI Networking Journey 
@BNI_Merseyside
 @MSBSolicitors
 #residentialconeyancing #liverpool #property #networking Covid has put a stop to a lot of networking but it’s great to Zoom again with a great team of people 
  "
Ernest August David,@ErnestAugustDa1,"Replying to 
@CurtessaJacques
 and 
@Surgeon_General"
Clément Garin,@clem_garin,"Replying to 
@oliPee5
 and 
@Tof_Beaugrand"
Pikiran Rakyat,@pikiran_rakyat,"Seorang ASN di Karawang Takut Divaksin, Dipegangi Sejumlah Orang dan Teriak-teriak
https://youtu.be/h5GwDEJAGQ0 

#karawang #asn #vaksin #covid #prmn #prmnsahabatumkm #pikiranrakyatmedianetwork #potensilokalgonasional #KolaborasiMediapreneurNusantara #pikiranrakyat"
𝕀𝕧,@Jobileft,"Replying to 
@SacmexCDMX"
Peter Graae,@pmgraae,"Replying to 
@anoors
 @lo_malin
 and 
@HelleKlein"
gaia from the shire,@melanchomical,"Replying to 
@Krislicked
 and 
@Asher_Wolf"
Blog do Noblat,@BlogdoNoblat,"Brasil bate 10º recorde consecutivo de média móvel de mortes por Covid com 1.540 óbitos. Ao todo, país registra 266.614 mortes e 11.055.480 casos desde o início da pandemia"
ceIia,@sheraimpact,ça y est eloïse elle va parler que du covid maintenant
Chris,@chrisandmarkuk,"Replying to 
@LondonHoskins
 @UKActionteam
 and 6 others"
Portada Villena,@PortadaVillena,Villena inicia la segunda semana de marzo con 3 nuevos fallecidos y 7 contagios por covid-19
Simona,@ettamona,"Replying to 
@Franziskus_D
 @metaanto
 and 4 others"
Business Bolton,@businessbolton,"1 in 3 people who have COVID don’t display any symptoms.

This is why it is so important to identify those cases in critical workers and prevent transmission.

If we don’t, we risk passing onto colleagues, loved ones and the wider community.

http://bolton.gov.uk/testingstaff"
Agencia Atlas,@AgenciaAtlas,"Italia supera la barrera de los 100 mil muertos por Covid.
Países Bajos no se la juega y prorroga hasta el 31 de marzo el toque de queda a las 9 de la noche"
Shannon McCallister #MentalEngineer & #LawNerd,@SBMcCallister,"@ChesterfieldVa
 
New School guidance policy issued by CDC. Is the 22 student classrooms upholding safe Covid practices? 
@RepSpanberger"
NEO NEO,@NEONEO36174646,"Replying to 
@NicoleDelepine
 and 
@Lesinfirmieres1"
Yawps Arena,@YawpsA,I Feel Perfectly Fine A Week After Taking Covid-19 Vaccine COVAX – Naa Ashorkor
mo,@mandapass,"Replying to 
@PaulMeekPerth"
Jabatan Penerangan Negeri Terengganu,@JapenTerengganu,"Program pelaksanaan vaksin COVID-19 kepada petugas barisan hadapan di Klinik Kesihatan Chendering, Kuala Terengganu, Terengganu. 

'Lindung Diri, Lindung Semua'

#MalaysiakuPrihatin
#KitaTeguhKitaMenang
#KomunikasiKita
#JabatanPenerangan
#japentrg"
INSIDENE,@insidene,"Ranbir Kapoor tests #COVID-19 positive; confirmed by mother Neetu
@ranbirkapoor"
"Carina
PVV",@Carina25645549,"Replying to 
@3Groter"
Acrísio Sena,@acrisiosena,Governo do Ceará inicia cadastro para grupos prioritários de vacinação contra a Covid-19 - Secretaria da Saúde
Glass of Water,@Glassofwater420,"Replying to 
@Glassofwater420
 @hushtali
 and 2 others"
TalkTurkey,@TalkyTurkey,"This is the 3rd time I have tweeted: At Adeliaide's Writers' Week last week in all the thousands of visitors from EVERYWHERE there were TWO people with masks, I was one. Now there are Covid traces in our sewage. NO-ONE has commented. What's wrong with you Crowies? "
Marches Growth Hub,@marcheshub,"All businesses in England are now able to sign up to the government’s free Covid-19 workplace testing programme. https://bit.ly/38n8yLf  

Businesses have until 31 March to register to order free lateral flow tests for their employees."
Jacky Donzeaud,@jjdonzeaud,"Covid-19 : un retour à la vie normale « mi-avril ? » Axel Kahn estime que « Gabriel Attal a dit n’importe quoi » 
@sudouest"
The National Sport,@NatSportUAE,All-Around Gymnastics World Cup in #Tokyo cancelled due to Covid-19 |
